,name,realm,rating,cls,spec,play,win,lose
0,Phearbunny,bleeding-hollow,1547,deathknight,blood,114,59,55
1,Pagumon,moon-guard,1421,deathknight,blood,126,65,61
2,Warlôck,chogall,1399,deathknight,blood,36,19,17
3,Réndwarchièf,garrosh,1227,deathknight,blood,51,23,28
4,Tiumau,goldrinn,1121,deathknight,blood,66,30,36
5,Nbayoungboy,kiljaeden,1088,deathknight,blood,46,18,28
6,Corndead,area-52,1045,deathknight,blood,30,11,19
7,Tragül,sargeras,1042,deathknight,blood,42,20,22
8,Bloodbukkaky,bleeding-hollow,946,deathknight,blood,61,16,45
9,Valind,eredar,854,deathknight,blood,18,9,9
10,Kult,azralon,841,deathknight,blood,12,9,3
11,Insonne,dalaran,837,deathknight,blood,18,9,9
12,Yafa,bonechewer,795,deathknight,blood,36,14,22
13,Kayn,malganis,767,deathknight,blood,18,8,10
14,Jakeboyswag,shandris,767,deathknight,blood,24,8,16
15,He,echo-isles,668,deathknight,blood,12,7,5
16,Eremeir,moon-guard,576,deathknight,blood,12,6,6
17,Blasphemus,malganis,575,deathknight,blood,12,6,6
18,Kaîne,dalaran,480,deathknight,blood,12,5,7
19,Belfknightt,area-52,479,deathknight,blood,15,5,10
20,Humber,area-52,384,deathknight,blood,6,4,2
21,Tristam,area-52,384,deathknight,blood,6,4,2
22,Pride,ragnaros,384,deathknight,blood,12,4,8
23,ßläzë,baelgun,288,deathknight,blood,15,4,11
24,Kimbøslîce,area-52,288,deathknight,blood,12,3,9
25,Kaloesh,drenden,288,deathknight,blood,12,3,9
26,Aborblood,hyjal,286,deathknight,blood,12,3,9
27,Neroxzdvm,area-52,192,deathknight,blood,6,2,4
28,Cerbeefquake,wyrmrest-accord,192,deathknight,blood,12,2,10
29,Eteson,tichondrius,191,deathknight,blood,6,2,4
30,Unhølydøøm,misha,191,deathknight,blood,12,2,10
31,Cosmiclord,sargeras,191,deathknight,blood,18,2,16
32,Killteam,tichondrius,96,deathknight,blood,6,1,5
33,Cozzasad,barthilas,96,deathknight,blood,6,1,5
34,Gnargnarr,firetree,96,deathknight,blood,6,1,5
35,Wowattorney,tichondrius,96,deathknight,blood,6,1,5
36,Determinate,deathwing,96,deathknight,blood,6,1,5
37,Ðrift,azralon,96,deathknight,blood,6,1,5
38,Lunatick,darkspear,96,deathknight,blood,6,1,5
39,Boneherr,sargeras,96,deathknight,blood,6,1,5
40,Zerhistran,proudmoore,64,deathknight,blood,4,1,3
41,Hulmorr,bleeding-hollow,64,deathknight,blood,4,1,3
42,Partywaffles,illidan,2179,deathknight,unholy,288,149,139
43,Pwaff,illidan,2125,deathknight,unholy,89,45,44
44,Neroxz,area-52,2105,deathknight,unholy,83,43,40
45,Qipara,zuljin,2104,deathknight,unholy,163,87,76
46,Graphics,moon-guard,2104,deathknight,unholy,388,196,192
47,Níngjìng,tichondrius,2074,deathknight,unholy,84,43,41
48,Veilsidé,kelthuzad,2058,deathknight,unholy,294,152,142
49,Thorediks,stormrage,2049,deathknight,unholy,138,67,71
50,Spaidzz,malganis,2035,deathknight,unholy,252,125,127
51,Búddy,zuljin,2022,deathknight,unholy,100,49,51
52,Gutterboy,malganis,2018,deathknight,unholy,87,41,46
53,Flarkness,area-52,2010,deathknight,unholy,78,37,41
54,Renaming,area-52,1985,deathknight,unholy,99,51,48
55,Achílles,sargeras,1979,deathknight,unholy,175,85,90
56,Scriptløl,sargeras,1975,deathknight,unholy,138,66,72
57,Ningjinglol,tichondrius,1969,deathknight,unholy,72,40,32
58,Pookr,area-52,1959,deathknight,unholy,156,73,83
59,Roidboy,illidan,1954,deathknight,unholy,115,57,58
60,Darkdj,kelthuzad,1944,deathknight,unholy,127,62,65
61,Vineyard,area-52,1943,deathknight,unholy,299,149,150
62,Toxicwaste,malganis,1942,deathknight,unholy,82,39,43
63,Juelzjerk,tichondrius,1940,deathknight,unholy,151,80,71
64,Nixonxx,tichondrius,1933,deathknight,unholy,126,78,48
65,Ceomdae,tichondrius,1927,deathknight,unholy,72,34,38
66,Mårlbørø,tichondrius,1915,deathknight,unholy,41,21,20
67,Éternalnight,tichondrius,1913,deathknight,unholy,76,32,44
68,Zynyzter,malganis,1912,deathknight,unholy,72,41,31
69,Barakhenaku,illidan,1911,deathknight,unholy,63,33,30
70,Killinois,tichondrius,1910,deathknight,unholy,47,21,26
71,Thotiannaqt,area-52,1909,deathknight,unholy,100,51,49
72,Cardii,area-52,1908,deathknight,unholy,142,73,69
73,Geomdae,tichondrius,1901,deathknight,unholy,71,31,40
74,Barelyviable,tichondrius,1898,deathknight,unholy,72,32,40
75,Steamerboy,stormrage,1887,deathknight,unholy,60,28,32
76,Serwestley,stormrage,1884,deathknight,unholy,83,41,42
77,Malhandir,bleeding-hollow,1880,deathknight,unholy,41,23,18
78,Harókz,azralon,1877,deathknight,unholy,95,48,47
79,Keetor,tichondrius,1875,deathknight,unholy,48,32,16
80,Kilohotel,stormrage,1873,deathknight,unholy,42,25,17
81,Dkya,tichondrius,1871,deathknight,unholy,310,156,154
82,Ilceses,area-52,1870,deathknight,unholy,66,29,37
83,Catarïa,tichondrius,1869,deathknight,unholy,90,44,46
84,Iato,sargeras,1868,deathknight,unholy,60,39,21
85,Evilduck,ragnaros,1866,deathknight,unholy,90,51,39
86,Goonaa,tichondrius,1861,deathknight,unholy,66,33,33
87,Exaar,tichondrius,1861,deathknight,unholy,81,39,42
88,Cavaliers,ragnaros,1860,deathknight,unholy,66,32,34
89,Lattè,area-52,1859,deathknight,unholy,55,30,25
90,Pradas,area-52,1857,deathknight,unholy,184,92,92
91,Xiaodabaolol,tichondrius,1855,deathknight,unholy,66,32,34
92,Bloodbruh,blackrock,1854,deathknight,unholy,60,34,26
93,Brutos,thrall,1851,deathknight,unholy,104,56,48
94,Tduggylolz,tichondrius,1851,deathknight,unholy,60,26,34
95,Daoniancc,tichondrius,1850,deathknight,unholy,375,197,178
96,Morbiddesire,stormrage,1849,deathknight,unholy,87,49,38
97,Didri,quelthalas,1846,deathknight,unholy,72,34,38
98,Keomdae,tichondrius,1844,deathknight,unholy,65,32,33
99,Tokyotimxx,malganis,1842,deathknight,unholy,48,30,18
100,Cloüd,wyrmrest-accord,1841,deathknight,unholy,64,31,33
101,Bicepsüal,zuljin,1840,deathknight,unholy,36,28,8
102,Nevermore,hyjal,1840,deathknight,unholy,125,67,58
103,Bruceleedk,tichondrius,1839,deathknight,unholy,100,51,49
104,Siêgfriëd,ragnaros,1839,deathknight,unholy,72,33,39
105,Milleh,bleeding-hollow,1838,deathknight,unholy,78,35,43
106,Annoyed,wyrmrest-accord,1837,deathknight,unholy,119,64,55
107,Blackfyré,sargeras,1837,deathknight,unholy,62,32,30
108,Skippee,tichondrius,1837,deathknight,unholy,60,29,31
109,Aidsbenedict,malganis,1837,deathknight,unholy,126,59,67
110,Vigarst,azralon,1835,deathknight,unholy,60,30,30
111,Haldevarik,doomhammer,1834,deathknight,unholy,78,43,35
112,Dazarune,burning-blade,1832,deathknight,unholy,46,25,21
113,Orphanmakerx,area-52,1832,deathknight,unholy,123,60,63
114,Zerhistran,proudmoore,1831,deathknight,unholy,254,136,118
115,Goonà,tichondrius,1831,deathknight,unholy,63,29,34
116,Aurious,lightnings-blade,1830,deathknight,unholy,84,47,37
117,Kortingert,nagrand,1830,deathknight,unholy,59,33,26
118,Wøund,black-dragonflight,1830,deathknight,unholy,226,115,111
119,Drauguss,azralon,1830,deathknight,unholy,124,61,63
120,Sinell,kargath,1829,deathknight,unholy,186,101,85
121,Slîckhuman,spinebreaker,1829,deathknight,unholy,60,27,33
122,Anatøly,ragnaros,1827,deathknight,unholy,42,21,21
123,Soulhand,tichondrius,1826,deathknight,unholy,104,57,47
124,Arthez,frostmourne,1824,deathknight,unholy,72,38,34
125,Sadboy,grizzly-hills,1822,deathknight,unholy,65,27,38
126,Zerøimperial,quelthalas,1821,deathknight,unholy,209,111,98
127,Goldênboy,blades-edge,1820,deathknight,unholy,66,42,24
128,Altareon,ragnaros,1820,deathknight,unholy,150,79,71
129,Einherjiar,tichondrius,1820,deathknight,unholy,48,25,23
130,Volyant,frostmourne,1820,deathknight,unholy,60,30,30
131,Kciktep,tichondrius,1819,deathknight,unholy,36,19,17
132,Datnai,barthilas,1819,deathknight,unholy,54,25,29
133,Hrsb,tichondrius,1817,deathknight,unholy,124,68,56
134,Sussybakadk,sargeras,1817,deathknight,unholy,70,34,36
135,Skideroth,kelthuzad,1817,deathknight,unholy,60,28,32
136,Flizzycash,malganis,1816,deathknight,unholy,56,27,29
137,Õdin,area-52,1815,deathknight,unholy,203,103,100
138,Wowattorney,tichondrius,1815,deathknight,unholy,82,33,49
139,Poesoul,tichondrius,1812,deathknight,unholy,285,143,142
140,Ravindrannor,saurfang,1812,deathknight,unholy,65,32,33
141,Dahnga,frostmourne,1811,deathknight,unholy,54,32,22
142,Plagueflavor,tichondrius,1811,deathknight,unholy,306,152,154
143,Muspel,sargeras,1811,deathknight,unholy,65,32,33
144,Fatzilla,tichondrius,1811,deathknight,unholy,66,26,40
145,Darkcata,tichondrius,1810,deathknight,unholy,42,19,23
146,Warrcc,steamwheedle-cartel,1809,deathknight,unholy,48,24,24
147,Floreon,tichondrius,1808,deathknight,unholy,65,34,31
148,Infectik,tichondrius,1807,deathknight,unholy,59,35,24
149,Chillbaynê,the-scryers,1807,deathknight,unholy,119,62,57
150,Brocigar,tichondrius,1806,deathknight,unholy,84,43,41
151,Sagadk,hyjal,1806,deathknight,unholy,70,33,37
152,Necrôtic,area-52,1806,deathknight,unholy,76,35,41
153,Twindleroot,aggramar,1804,deathknight,unholy,77,45,32
154,Mûs,tichondrius,1804,deathknight,unholy,66,36,30
155,Asukka,tichondrius,1804,deathknight,unholy,78,32,46
156,Chimps,illidan,1803,deathknight,unholy,52,29,23
157,Kaeligh,ragnaros,1803,deathknight,unholy,66,29,37
158,Ziskon,illidan,1802,deathknight,unholy,100,53,47
159,Dtcfasd,tichondrius,1801,deathknight,unholy,32,20,12
160,Zìlêán,tichondrius,1800,deathknight,unholy,70,39,31
161,Starshopping,proudmoore,1800,deathknight,unholy,91,44,47
162,Azre,tichondrius,1800,deathknight,unholy,160,74,86
163,Avengering,tichondrius,1794,deathknight,unholy,75,40,35
164,Sithdog,blackrock,1794,deathknight,unholy,84,37,47
