name,realm,rating,cls,spec,play,win,lose
Phearbunny,bleeding-hollow,1523,deathknight,blood,60,31,29
Pagumon,moon-guard,1144,deathknight,blood,60,23,37
Bloodbukkaky,bleeding-hollow,1046,deathknight,blood,30,11,19
Valind,eredar,854,deathknight,blood,18,9,9
Blasphemus,malganis,575,deathknight,blood,12,6,6
Tragül,sargeras,477,deathknight,blood,12,5,7
Tristam,area-52,384,deathknight,blood,6,4,2
Kimbøslîce,area-52,288,deathknight,blood,12,3,9
Unhølydøøm,misha,191,deathknight,blood,12,2,10
Cozzasad,barthilas,96,deathknight,blood,6,1,5
Gnargnarr,firetree,96,deathknight,blood,6,1,5
Lunatick,darkspear,96,deathknight,blood,6,1,5
Hulmorr,bleeding-hollow,64,deathknight,blood,4,1,3
Spaidzz,malganis,2107,deathknight,unholy,134,70,64
Partywaffles,illidan,2105,deathknight,unholy,98,53,45
Neroxz,area-52,2105,deathknight,unholy,83,43,40
Níngjìng,tichondrius,2041,deathknight,unholy,78,41,37
Pwaff,illidan,1993,deathknight,unholy,65,31,34
Juelzjerk,tichondrius,1976,deathknight,unholy,48,30,18
Veilsidé,kelthuzad,1948,deathknight,unholy,228,115,113
Toxicwaste,malganis,1945,deathknight,unholy,58,27,31
Brutos,thrall,1934,deathknight,unholy,68,42,26
Scriptløl,sargeras,1919,deathknight,unholy,132,61,71
Roidboy,illidan,1917,deathknight,unholy,85,41,44
Mårlbørø,tichondrius,1915,deathknight,unholy,41,21,20
Darkdj,kelthuzad,1914,deathknight,unholy,67,31,36
Éternalnight,tichondrius,1913,deathknight,unholy,76,32,44
Zynyzter,malganis,1912,deathknight,unholy,72,41,31
Achílles,sargeras,1901,deathknight,unholy,114,51,63
Geomdae,tichondrius,1901,deathknight,unholy,71,31,40
Chillbayné,the-scryers,1900,deathknight,unholy,83,47,36
Poesoul,tichondrius,1889,deathknight,unholy,60,33,27
Vineyard,area-52,1884,deathknight,unholy,101,48,53
Cavaliers,ragnaros,1881,deathknight,unholy,48,25,23
Áethros,malganis,1879,deathknight,unholy,84,42,42
Plagueflavor,tichondrius,1876,deathknight,unholy,151,77,74
Qipara,zuljin,1869,deathknight,unholy,50,31,19
Graphics,moon-guard,1865,deathknight,unholy,220,104,116
Ilceses,area-52,1861,deathknight,unholy,42,22,20
Drauguss,azralon,1860,deathknight,unholy,106,53,53
Lattè,area-52,1859,deathknight,unholy,55,30,25
Dkya,tichondrius,1855,deathknight,unholy,118,58,60
Morbiddesire,stormrage,1849,deathknight,unholy,87,49,38
Wøund,black-dragonflight,1848,deathknight,unholy,96,51,45
Didri,quelthalas,1846,deathknight,unholy,72,34,38
Sinell,kargath,1841,deathknight,unholy,103,60,43
Haldevarik,doomhammer,1834,deathknight,unholy,78,43,35
Kilohotel,stormrage,1832,deathknight,unholy,36,22,14
Anatøly,ragnaros,1827,deathknight,unholy,42,21,21
Bloodbruh,blackrock,1825,deathknight,unholy,54,32,22
Sadboy,grizzly-hills,1822,deathknight,unholy,65,27,38
Serwestley,stormrage,1820,deathknight,unholy,59,31,28
Barelyviable,tichondrius,1818,deathknight,unholy,60,27,33
Flizzycash,malganis,1816,deathknight,unholy,56,27,29
Riddles,maiev,1809,deathknight,unholy,113,60,53
Infectik,tichondrius,1807,deathknight,unholy,59,35,24
Flarkness,area-52,1806,deathknight,unholy,54,25,29
Necrôtic,area-52,1806,deathknight,unholy,76,35,41
Kaeligh,ragnaros,1803,deathknight,unholy,66,29,37
Zìlêán,tichondrius,1800,deathknight,unholy,70,39,31
