name,realm,rating,cls,spec,play,win,lose
Mirídiuss,silvermoon,1798,deathknight,unholy,58,31,27
Ðavy,silvermoon,1793,deathknight,unholy,60,29,31
Verminosis,stormscale,1791,deathknight,unholy,78,31,47
Jesûsx,ravencrest,1787,deathknight,unholy,130,69,61
Дайтоолгоун,deathguard,1783,deathknight,unholy,69,38,31
Дэхон,gordunni,1777,deathknight,unholy,85,45,40
Argonat,silvermoon,1775,deathknight,unholy,132,72,60
Péterpain,antonidas,1771,deathknight,unholy,102,49,53
Shanariel,khaz-modan,1761,deathknight,unholy,114,65,49
Crenshawx,twisting-nether,1761,deathknight,unholy,165,81,84
Deathgrab,twisting-nether,1758,deathknight,unholy,74,40,34
Фростинг,gordunni,1757,deathknight,unholy,42,23,19
Apacstanya,ragnaros,1757,deathknight,unholy,60,25,35
Zektal,thrall,1753,deathknight,unholy,66,32,34
Darkknights,archimonde,1749,deathknight,unholy,85,48,37
Ampdk,ravencrest,1748,deathknight,unholy,48,28,20
Sendurd,ragnaros,1747,deathknight,unholy,66,27,39
Happsor,eredar,1746,deathknight,unholy,77,35,42
Elyth,kazzak,1740,deathknight,unholy,58,33,25
Сантамо,soulflayer,1738,deathknight,unholy,110,59,51
Кромгак,soulflayer,1738,deathknight,unholy,68,35,33
Sakiko,thrall,1736,deathknight,unholy,42,23,19
Неондк,eversong,1734,deathknight,unholy,134,65,69
Slade,blackrock,1734,deathknight,unholy,60,23,37
Zerachy,blackmoore,1733,deathknight,unholy,30,19,11
Вовчан,howling-fjord,1733,deathknight,unholy,92,42,50
Deathmonsta,auchindoun,1731,deathknight,unholy,84,39,45
Râke,teldrassil,1729,deathknight,unholy,54,25,29
Motvinden,stormscale,1724,deathknight,unholy,100,54,46
Рыжаяпедаль,soulflayer,1723,deathknight,unholy,42,27,15
Darkertimes,ragnaros,1723,deathknight,unholy,189,92,97
Skulm,twisting-nether,1722,deathknight,unholy,48,20,28
Inâste,thrall,1719,deathknight,unholy,48,26,22
Вирко,eversong,1719,deathknight,unholy,184,96,88
Ghostreign,tarren-mill,1719,deathknight,unholy,68,33,35
Кулькулегал,ashenvale,1717,deathknight,unholy,66,34,32
Лордэскорт,gordunni,1717,deathknight,unholy,114,52,62
Nazgül,drakthul,1716,deathknight,unholy,122,68,54
Itreachesout,ravencrest,1716,deathknight,unholy,137,67,70
Тхиро,gordunni,1716,deathknight,unholy,95,38,57
Koranderx,argent-dawn,1713,deathknight,unholy,30,18,12
Alti,blackmoore,1705,deathknight,unholy,118,65,53
Triffdich,blackrock,1704,deathknight,unholy,120,62,58
Wôrgenator,kazzak,1704,deathknight,unholy,48,18,30
Alessia,alonsus,1701,deathknight,unholy,36,21,15
Ràiven,blackmoore,1701,deathknight,unholy,65,31,34
Évìl,stormscale,1700,deathknight,unholy,45,24,21
Sprangers,ravencrest,1699,deathknight,unholy,36,18,18
Enzÿ,drakthul,1698,deathknight,unholy,54,29,25
Raziee,twisting-nether,1698,deathknight,unholy,96,50,46
Альдафьод,howling-fjord,1696,deathknight,unholy,30,19,11
Эриданс,gordunni,1696,deathknight,unholy,142,79,63
Èvíl,stormscale,1695,deathknight,unholy,42,23,19
Fraeya,sunstrider,1695,deathknight,unholy,213,107,106
Doozz,draenor,1692,deathknight,unholy,87,34,53
Vainajala,die-aldor,1691,deathknight,unholy,77,46,31
Arizon,drakthul,1691,deathknight,unholy,98,40,58
Necrotic,blackrock,1690,deathknight,unholy,53,30,23
Deathlog,silvermoon,1690,deathknight,unholy,138,71,67
Impey,kazzak,1689,deathknight,unholy,30,18,12
Reidemorte,minahonda,1689,deathknight,unholy,140,81,59
Моровой,blackscar,1685,deathknight,unholy,70,35,35
Ronsôn,terrordar,1685,deathknight,unholy,54,27,27
Gladiadk,ysondre,1684,deathknight,unholy,53,21,32
Ûñhølýðéåthj,tarren-mill,1683,deathknight,unholy,59,28,31
Mammacitaa,argent-dawn,1682,deathknight,unholy,47,28,19
ßankoedno,stormscale,1681,deathknight,unholy,120,62,58
Аркёт,howling-fjord,1681,deathknight,unholy,84,42,42
Sang,deathwing,1680,deathknight,unholy,44,24,20
Stely,alonsus,1678,deathknight,unholy,36,21,15
Wombo,dentarg,1677,deathknight,unholy,57,30,27
Lovroo,silvermoon,1677,deathknight,unholy,93,43,50
Sanuky,blackrock,1677,deathknight,unholy,42,18,24
Nurekindk,argent-dawn,1676,deathknight,unholy,125,65,60
