name,realm,rating,cls,spec,play,win,lose
Эваер,blackscar,1549,deathknight,blood,48,25,23
Rahbekius,kazzak,1055,deathknight,blood,36,11,25
Schiva,eredar,252,deathknight,blood,11,3,8
Bóby,ravencrest,2023,deathknight,unholy,108,51,57
Worlviuz,argent-dawn,2021,deathknight,unholy,99,53,46
Enzy,drakthul,1948,deathknight,unholy,42,26,16
Shadowdeathj,kazzak,1913,deathknight,unholy,54,27,27
Conqueròr,tarren-mill,1903,deathknight,unholy,54,24,30
Bedstemoor,ravencrest,1899,deathknight,unholy,60,30,30
Валькейн,blackscar,1883,deathknight,unholy,60,32,28
Akaliz,die-aldor,1876,deathknight,unholy,66,35,31
Хайвейтухэлл,soulflayer,1874,deathknight,unholy,66,32,34
Vakü,burning-legion,1866,deathknight,unholy,108,49,59
Narali,argent-dawn,1859,deathknight,unholy,72,34,38
Murky,kazzak,1852,deathknight,unholy,60,29,31
Дайтоолгоун,gordunni,1851,deathknight,unholy,65,31,34
Vallenhal,twisting-nether,1850,deathknight,unholy,48,23,25
Leomordf,doomhammer,1847,deathknight,unholy,57,40,17
Mockingbirdo,sanguino,1836,deathknight,unholy,36,24,12
Amnésyx,ysondre,1835,deathknight,unholy,58,30,28
Lilshiet,stormreaver,1831,deathknight,unholy,66,30,36
Namzera,draenor,1827,deathknight,unholy,114,70,44
Oscman,silvermoon,1827,deathknight,unholy,54,32,22
Cealdris,blackmoore,1819,deathknight,unholy,30,20,10
Обледенение,gordunni,1819,deathknight,unholy,36,19,17
Argonat,silvermoon,1812,deathknight,unholy,64,40,24
Кромгона,soulflayer,1809,deathknight,unholy,36,28,8
Аоепупс,gordunni,1809,deathknight,unholy,57,28,29
Ezlyy,ravencrest,1807,deathknight,unholy,78,41,37
Лордэскорт,gordunni,1805,deathknight,unholy,78,37,41
Inflex,silvermoon,1789,deathknight,unholy,72,36,36
Leónid,kazzak,1780,deathknight,unholy,54,27,27
Lovroo,silvermoon,1769,deathknight,unholy,36,19,17
Kwc,ravencrest,1749,deathknight,unholy,45,24,21
Køley,draenor,1732,deathknight,unholy,41,23,18
Crenshawx,twisting-nether,1717,deathknight,unholy,65,30,35
Mávé,tarren-mill,1715,deathknight,unholy,47,24,23
Koranderx,argent-dawn,1713,deathknight,unholy,30,18,12
Shanariel,khaz-modan,1712,deathknight,unholy,54,33,21
Sangíus,blackmoore,1712,deathknight,unholy,148,70,78
Leanâdle,hyjal,1698,deathknight,unholy,74,38,36
Эриданс,gordunni,1689,deathknight,unholy,78,46,32
Кулькулегал,ashenvale,1685,deathknight,unholy,54,27,27
ßankoedno,stormscale,1676,deathknight,unholy,102,53,49
Blazeberg,blackrock,1662,deathknight,unholy,58,33,25
Zokko,blackrock,1659,deathknight,unholy,42,22,20
Jesûsx,ravencrest,1656,deathknight,unholy,30,18,12
Grepetta,argent-dawn,1656,deathknight,unholy,139,64,75
Unhóly,tarren-mill,1655,deathknight,unholy,48,28,20
Kickbot,outland,1652,deathknight,unholy,71,35,36
Reann,argent-dawn,1649,deathknight,unholy,55,31,24
Garrinchá,stormscale,1636,deathknight,unholy,48,21,27
Hellguy,draenor,1625,deathknight,unholy,96,42,54
Аркёт,howling-fjord,1618,deathknight,unholy,42,19,23
Verminosis,stormscale,1614,deathknight,unholy,48,17,31
Lockhead,stormscale,1611,deathknight,unholy,72,41,31
Змейняша,soulflayer,1590,deathknight,unholy,42,20,22
Lichbørn,ragnaros,1585,deathknight,unholy,48,22,26
Megdeath,silvermoon,1583,deathknight,unholy,55,28,27
Yandeäth,chants-éternels,1574,deathknight,unholy,30,18,12
Ктунец,blackscar,1570,deathknight,unholy,36,19,17
Söttguetsi,blackrock,1566,deathknight,unholy,35,20,15
Devilknight,dentarg,1557,deathknight,unholy,112,58,54
Darkertimes,ragnaros,1554,deathknight,unholy,54,21,33
Anaralien,ravencrest,1551,deathknight,unholy,83,40,43
Десхоб,soulflayer,1547,deathknight,unholy,66,22,44
Нарилуне,blackscar,1542,deathknight,unholy,86,45,41
Woddey,blackrock,1535,deathknight,unholy,48,28,20
Andreàs,silvermoon,1533,deathknight,unholy,30,16,14
Вурдулакх,gordunni,1532,deathknight,unholy,78,38,40
Çruél,silvermoon,1530,deathknight,unholy,36,16,20
Greymarker,kirin-tor,1526,deathknight,unholy,30,19,11
Dörfl,antonidas,1524,deathknight,unholy,75,36,39
Yusehz,kazzak,1523,deathknight,unholy,41,17,24
Deusmort,ravencrest,1507,deathknight,unholy,54,22,32
Notsyndra,nemesis,1504,deathknight,unholy,30,16,14
Sîck,bladefist,1503,deathknight,unholy,60,22,38
