,name,realm,rating,cls,spec,play,win,lose
0,Rahbekius,kazzak,1519,deathknight,blood,225,103,122
1,Эваер,blackscar,1506,deathknight,blood,60,29,31
2,Hoggster,kazzak,1416,deathknight,blood,75,28,47
3,Maylined,antonidas,1316,deathknight,blood,36,16,20
4,Horrorda,defias-brotherhood,1265,deathknight,blood,44,24,20
5,Nîghtmáre,ravencrest,1180,deathknight,blood,35,20,15
6,Ducados,forscherliga,952,deathknight,blood,24,12,12
7,Minoporc,archimonde,916,deathknight,blood,39,14,25
8,Wickedgray,outland,672,deathknight,blood,12,7,5
9,Schiva,eredar,607,deathknight,blood,23,7,16
10,Smalldk,silvermoon,574,deathknight,blood,18,6,12
11,Оосака,gordunni,573,deathknight,blood,24,6,18
12,Downtoclown,argent-dawn,480,deathknight,blood,12,5,7
13,Bloodzin,frostwhisper,480,deathknight,blood,12,5,7
14,Helixnc,silvermoon,480,deathknight,blood,12,5,7
15,Schwuischädl,eredar,479,deathknight,blood,12,5,7
16,Zdan,sylvanas,476,deathknight,blood,12,5,7
17,Akamechân,frostmourne,382,deathknight,blood,6,4,2
18,Hellcrosser,blackrock,381,deathknight,blood,12,4,8
19,Airok,proudmoore,381,deathknight,blood,12,4,8
20,Pinkish,argent-dawn,379,deathknight,blood,12,4,8
21,Барагган,thermaplugg,288,deathknight,blood,6,3,3
22,Кмамехочу,howling-fjord,288,deathknight,blood,18,3,15
23,Oxcidium,archimonde,287,deathknight,blood,6,3,3
24,Pechugona,zuljin,287,deathknight,blood,24,3,21
25,Dromadeus,sylvanas,286,deathknight,blood,12,3,9
26,Calculated,spinebreaker,192,deathknight,blood,6,2,4
27,Rakia,defias-brotherhood,191,deathknight,blood,12,2,10
28,Fixmybones,frostmane,96,deathknight,blood,6,1,5
29,Maradk,drakthul,96,deathknight,blood,6,1,5
30,Нишимба,soulflayer,2121,deathknight,unholy,90,46,44
31,Страхолит,soulflayer,2107,deathknight,unholy,179,89,90
32,Хайвейтухэлл,soulflayer,2098,deathknight,unholy,96,48,48
33,Conqueròr,tarren-mill,2083,deathknight,unholy,94,46,48
34,Кромгона,soulflayer,2023,deathknight,unholy,136,83,53
35,Bíllÿ,kazzak,2003,deathknight,unholy,104,56,48
36,Storhøf,sanguino,1982,deathknight,unholy,108,61,47
37,Bedstemoor,ravencrest,1982,deathknight,unholy,120,63,57
38,Elite,xavius,1977,deathknight,unholy,74,39,35
39,Leónid,kazzak,1962,deathknight,unholy,72,36,36
40,Enzy,drakthul,1948,deathknight,unholy,42,26,16
41,Hotcherryx,dun-modr,1946,deathknight,unholy,192,97,95
42,Дайтоолгоун,gordunni,1937,deathknight,unholy,113,56,57
43,Leomordf,doomhammer,1919,deathknight,unholy,244,136,108
44,Murky,kazzak,1918,deathknight,unholy,262,129,133
45,Bøby,kul-tiras,1917,deathknight,unholy,60,31,29
46,Shadowdeathj,kazzak,1913,deathknight,unholy,54,27,27
47,Vakü,burning-legion,1907,deathknight,unholy,558,275,283
48,Worlviuz,argent-dawn,1905,deathknight,unholy,141,70,71
49,Шайбовёрт,gordunni,1884,deathknight,unholy,130,66,64
50,Валькейн,blackscar,1883,deathknight,unholy,60,32,28
51,Fxckingmad,ravencrest,1883,deathknight,unholy,72,37,35
52,Yazga,blackmoore,1883,deathknight,unholy,65,32,33
53,Akaliz,die-aldor,1876,deathknight,unholy,66,35,31
54,Ipanic,argent-dawn,1875,deathknight,unholy,228,120,108
55,Eyyoo,blackmoore,1875,deathknight,unholy,70,35,35
56,Necrølyte,sylvanas,1874,deathknight,unholy,120,64,56
57,Bóby,ravencrest,1873,deathknight,unholy,297,140,157
58,Narali,argent-dawn,1859,deathknight,unholy,72,34,38
59,Likewise,twisting-nether,1853,deathknight,unholy,48,20,28
60,Vallenhal,twisting-nether,1850,deathknight,unholy,48,23,25
61,Azüla,ysondre,1848,deathknight,unholy,66,30,36
62,Fabricius,blackrock,1847,deathknight,unholy,66,36,30
63,Меланндрис,gordunni,1845,deathknight,unholy,60,44,16
64,Лордпафос,blackscar,1844,deathknight,unholy,66,37,29
65,Øtherànóther,stormscale,1843,deathknight,unholy,54,30,24
66,Ezlyy,ravencrest,1843,deathknight,unholy,114,60,54
67,Кромгон,soulflayer,1843,deathknight,unholy,61,30,31
68,Amnésyx,ysondre,1842,deathknight,unholy,64,32,32
69,Frege,tarren-mill,1839,deathknight,unholy,84,43,41
70,Nómòre,ravencrest,1839,deathknight,unholy,60,30,30
71,Mockingbirdo,sanguino,1836,deathknight,unholy,36,24,12
72,Fennro,ysondre,1836,deathknight,unholy,300,147,153
73,Аронас,blackscar,1833,deathknight,unholy,83,42,41
74,Lilshiet,stormreaver,1831,deathknight,unholy,66,30,36
75,Namzera,draenor,1827,deathknight,unholy,114,70,44
76,Undeadcell,ravencrest,1826,deathknight,unholy,60,34,26
77,Quizon,tarren-mill,1826,deathknight,unholy,84,39,45
78,Oj,darkspear,1825,deathknight,unholy,211,112,99
79,Zokko,blackrock,1820,deathknight,unholy,59,31,28
80,Cealdris,blackmoore,1819,deathknight,unholy,30,20,10
81,Обледенение,gordunni,1819,deathknight,unholy,36,19,17
82,Bigdickdk,ragnaros,1819,deathknight,unholy,58,27,31
83,Bephomet,onyxia,1819,deathknight,unholy,111,50,61
84,Lutcher,hellfire,1818,deathknight,unholy,36,20,16
85,Rankor,grim-batol,1816,deathknight,unholy,66,36,30
86,Necrofear,grim-batol,1816,deathknight,unholy,126,62,64
87,Змейняша,soulflayer,1814,deathknight,unholy,121,62,59
88,Aifam,twisting-nether,1813,deathknight,unholy,116,59,57
89,Andreàs,silvermoon,1813,deathknight,unholy,60,30,30
90,Брексиен,gordunni,1813,deathknight,unholy,54,20,34
91,Aryash,silvermoon,1812,deathknight,unholy,66,31,35
92,Amyntasz,twisting-nether,1812,deathknight,unholy,54,23,31
93,Sélyne,dalaran,1811,deathknight,unholy,60,27,33
94,Unhóly,tarren-mill,1810,deathknight,unholy,127,72,55
95,Аоепупс,gordunni,1809,deathknight,unholy,57,28,29
96,Allmawt,argent-dawn,1808,deathknight,unholy,89,51,38
97,Oscman,silvermoon,1805,deathknight,unholy,123,65,58
98,Køley,draenor,1804,deathknight,unholy,53,30,23
99,Annabolik,ravencrest,1804,deathknight,unholy,36,19,17
100,Icegrin,silvermoon,1803,deathknight,unholy,150,81,69
101,Butthurtx,stormscale,1802,deathknight,unholy,46,27,19
102,Бургер,soulflayer,1802,deathknight,unholy,78,33,45
103,Exoflake,kazzak,1801,deathknight,unholy,64,36,28
104,Inflex,silvermoon,1800,deathknight,unholy,102,51,51
105,Grepetta,argent-dawn,1800,deathknight,unholy,243,121,122
106,Sanlex,twisting-nether,1800,deathknight,unholy,139,67,72
107,Mirídiuss,silvermoon,1798,deathknight,unholy,58,31,27
108,Ðavy,silvermoon,1793,deathknight,unholy,60,29,31
109,Verminosis,stormscale,1791,deathknight,unholy,78,31,47
110,Jesûsx,ravencrest,1787,deathknight,unholy,130,69,61
111,Дайтоолгоун,deathguard,1783,deathknight,unholy,69,38,31
112,Дэхон,gordunni,1777,deathknight,unholy,85,45,40
113,Argonat,silvermoon,1775,deathknight,unholy,132,72,60
114,Péterpain,antonidas,1771,deathknight,unholy,102,49,53
115,Shanariel,khaz-modan,1761,deathknight,unholy,114,65,49
116,Crenshawx,twisting-nether,1761,deathknight,unholy,165,81,84
117,Deathgrab,twisting-nether,1758,deathknight,unholy,74,40,34
118,Фростинг,gordunni,1757,deathknight,unholy,42,23,19
119,Apacstanya,ragnaros,1757,deathknight,unholy,60,25,35
120,Zektal,thrall,1753,deathknight,unholy,66,32,34
121,Darkknights,archimonde,1749,deathknight,unholy,85,48,37
122,Ampdk,ravencrest,1748,deathknight,unholy,48,28,20
123,Sendurd,ragnaros,1747,deathknight,unholy,66,27,39
124,Happsor,eredar,1746,deathknight,unholy,77,35,42
125,Elyth,kazzak,1740,deathknight,unholy,58,33,25
126,Сантамо,soulflayer,1738,deathknight,unholy,110,59,51
