,name,realm,rating,cls,spec,play,win,lose
99,Vainajala,die-aldor,1633,deathknight,unholy,71,41,30
100,Crenshawx,twisting-nether,1633,deathknight,unholy,77,33,44
101,Sølîta,archimonde,1632,deathknight,unholy,71,39,32
102,Вирко,eversong,1631,deathknight,unholy,58,29,29
103,Аронас,blackscar,1629,deathknight,unholy,42,21,21
104,Бургер,soulflayer,1622,deathknight,unholy,54,21,33
105,Quetza,twisting-nether,1621,deathknight,unholy,36,17,19
106,Кокосоус,gordunni,1618,deathknight,unholy,36,18,18
107,Аркёт,howling-fjord,1618,deathknight,unholy,42,19,23
108,Gladiadk,ysondre,1618,deathknight,unholy,42,17,25
109,Storhøf,sanguino,1616,deathknight,unholy,30,17,13
110,Pellizquitas,sanguino,1612,deathknight,unholy,30,17,13
111,Lockhead,stormscale,1612,deathknight,unholy,90,50,40
112,Inâste,thrall,1612,deathknight,unholy,36,20,16
113,Quizon,tarren-mill,1610,deathknight,unholy,42,20,22
114,Castlevanía,ravencrest,1609,deathknight,unholy,97,48,49
115,Notsyndra,nemesis,1603,deathknight,unholy,42,23,19
116,Jiodythyy,archimonde,1602,deathknight,unholy,54,23,31
117,Økah,outland,1598,deathknight,unholy,48,21,27
118,Çruél,silvermoon,1596,deathknight,unholy,42,19,23
119,Körthazz,hyjal,1595,deathknight,unholy,49,25,24
120,Synthwave,tarren-mill,1594,deathknight,unholy,41,19,22
121,Bredox,ravencrest,1593,deathknight,unholy,36,17,19
122,Lichbørn,ragnaros,1585,deathknight,unholy,48,22,26
123,Ктунец,blackscar,1570,deathknight,unholy,36,19,17
124,Aeneriah,tarren-mill,1569,deathknight,unholy,49,27,22
125,Söttguetsi,blackrock,1566,deathknight,unholy,41,23,18
126,Motvinden,stormscale,1566,deathknight,unholy,46,22,24
127,Хорссэ,soulflayer,1563,deathknight,unholy,34,21,13
128,Fennro,ysondre,1563,deathknight,unholy,156,65,91
129,Вурдулакх,gordunni,1561,deathknight,unholy,96,48,48
130,Hellguy,draenor,1560,deathknight,unholy,132,58,74
131,Моровой,blackscar,1559,deathknight,unholy,41,20,21
132,Deathvid,ravencrest,1558,deathknight,unholy,30,18,12
133,Сванхильда,grom,1558,deathknight,unholy,66,33,33
134,Bokrak,norgannon,1551,deathknight,unholy,64,41,23
135,Gargalon,drakthul,1547,deathknight,unholy,54,28,26
136,Хассандра,galakrond,1537,deathknight,unholy,62,30,32
137,Zoree,draenor,1534,deathknight,unholy,95,50,45
138,Smörj,aggramar,1534,deathknight,unholy,42,17,25
139,Nommad,archimonde,1530,deathknight,unholy,53,22,31
140,Dörfl,antonidas,1524,deathknight,unholy,75,36,39
141,Yusehz,kazzak,1523,deathknight,unholy,41,17,24
142,Oweiowei,blackrock,1520,deathknight,unholy,24,16,8
143,Woddey,blackrock,1520,deathknight,unholy,72,39,33
144,Мёрдерфэйсх,soulflayer,1517,deathknight,unholy,78,41,37
145,Nazgül,drakthul,1517,deathknight,unholy,86,43,43
146,Ghaloob,draenor,1515,deathknight,unholy,30,16,14
147,Greymarker,kirin-tor,1513,deathknight,unholy,66,37,29
148,Слендер,howling-fjord,1510,deathknight,unholy,30,16,14
149,Ardros,eredar,1507,deathknight,unholy,48,23,25
150,Ullefuz,silvermoon,1506,deathknight,unholy,24,18,6
151,Нарилуне,blackscar,1504,deathknight,unholy,157,79,78
152,Megdeath,silvermoon,1504,deathknight,unholy,90,43,47
153,Sîck,bladefist,1503,deathknight,unholy,60,22,38
154,Numnuts,alakir,1502,deathknight,unholy,36,21,15
155,Тыпидо,howling-fjord,1502,deathknight,unholy,30,17,13
156,Qtxi,nozdormu,1500,deathknight,unholy,84,44,40
157,Devilknight,dentarg,1500,deathknight,unholy,136,68,68
158,Ахелекус,blackscar,1498,deathknight,unholy,30,17,13
159,Pavkata,outland,1497,deathknight,unholy,112,57,55
160,Алсидис,gordunni,1497,deathknight,unholy,60,22,38
161,Aleejha,draenor,1496,deathknight,unholy,40,22,18
162,Arxelas,sylvanas,1482,deathknight,unholy,60,33,27
163,Ceranto,frostwolf,1481,deathknight,unholy,71,44,27
164,Лекъса,gordunni,1481,deathknight,unholy,87,44,43
165,Bloodbane,burning-blade,1481,deathknight,unholy,36,18,18
166,Anaralien,ravencrest,1479,deathknight,unholy,89,40,49
167,Derfitt,sanguino,1478,deathknight,unholy,42,18,24
168,Арцевус,gordunni,1477,deathknight,unholy,58,29,29
169,Deathcam,emerald-dream,1472,deathknight,unholy,71,32,39
170,Sorostew,twisting-nether,1467,deathknight,unholy,42,23,19
171,Utyr,ragnaros,1463,deathknight,unholy,30,16,14
172,Кадавров,gordunni,1463,deathknight,unholy,42,20,22
173,Rizzlerdk,blackhand,1461,deathknight,unholy,78,30,48
174,Торедх,howling-fjord,1461,deathknight,unholy,42,16,26
175,Шифычдк,howling-fjord,1460,deathknight,unholy,60,27,33
176,Blízna,kazzak,1459,deathknight,unholy,78,36,42
177,Deusmort,ravencrest,1457,deathknight,unholy,66,26,40
178,Teljujad,sanguino,1453,deathknight,unholy,92,45,47
179,Борнтудай,borean-tundra,1445,deathknight,unholy,48,17,31
180,Unholy,ragnaros,1444,deathknight,unholy,38,20,18
181,Deadroses,tarren-mill,1442,deathknight,unholy,54,34,20
182,Сенкрул,gordunni,1440,deathknight,unholy,72,48,24
183,Bøby,kul-tiras,1438,deathknight,unholy,24,15,9
184,Ganessha,sanguino,1437,deathknight,unholy,27,16,11
185,Hêalz,ungoro,1433,deathknight,unholy,34,19,15
186,Смердонос,grom,1432,deathknight,unholy,68,38,30
187,Metalmanethé,tarren-mill,1432,deathknight,unholy,133,62,71
188,Спавни,blackscar,1432,deathknight,unholy,135,62,73
189,Jalapeñofan,tarren-mill,1430,deathknight,unholy,36,18,18
190,Turboface,kazzak,1427,deathknight,unholy,30,16,14
191,Babsyknight,wildhammer,1426,deathknight,unholy,78,32,46
192,Десхоб,soulflayer,1426,deathknight,unholy,102,36,66
193,Анихиме,howling-fjord,1424,deathknight,unholy,75,37,38
194,Deathlog,silvermoon,1424,deathknight,unholy,36,17,19
195,Vatø,tarren-mill,1423,deathknight,unholy,36,15,21
196,Xado,frostwolf,1421,deathknight,unholy,66,37,29
197,Skøurge,silvermoon,1421,deathknight,unholy,126,64,62
198,Ampdk,ravencrest,1421,deathknight,unholy,30,15,15
199,Discochoppa,blackmoore,1421,deathknight,unholy,36,15,21
200,Hawkthuglife,dun-modr,1421,deathknight,unholy,42,17,25
201,Mìa,kragjin,1415,deathknight,unholy,73,33,40
202,Элекна,deepholm,1412,deathknight,unholy,36,16,20
203,Terren,ravencrest,1409,deathknight,unholy,52,29,23
204,Xirra,tarren-mill,1409,deathknight,unholy,67,33,34
205,Jäätynyt,zenedar,1407,deathknight,unholy,83,31,52
206,Frostmommy,argent-dawn,1398,deathknight,unholy,48,18,30
207,Facèpalm,ravencrest,1396,deathknight,unholy,33,18,15
208,Lorvetis,malorne,1395,deathknight,unholy,42,19,23
209,Dkbladet,ravencrest,1391,deathknight,unholy,56,29,27
210,Hordak,stormscale,1384,deathknight,unholy,39,15,24
211,Necrotic,blackrock,1383,deathknight,unholy,23,15,8
212,Blorin,sylvanas,1372,deathknight,unholy,58,24,34
213,Gødofredo,dun-modr,1370,deathknight,unholy,60,30,30
214,Tyvra,blackhand,1369,deathknight,unholy,47,17,30
215,Fizzdk,pozzo-delleternità,1359,deathknight,unholy,30,15,15
216,Gaurk,aggra-português,1350,deathknight,unholy,24,15,9
217,Draforce,quelthalas,1349,deathknight,unholy,23,15,8
218,Pawcio,argent-dawn,1348,deathknight,unholy,78,39,39
219,Prænklý,blackrock,1348,deathknight,unholy,30,15,15
220,Quantumshift,ravencrest,1347,deathknight,unholy,24,15,9
221,Jihm,silvermoon,1344,deathknight,unholy,117,62,55
222,Sathmayla,silvermoon,1343,deathknight,unholy,23,15,8
223,Ahilus,bladefist,1343,deathknight,unholy,31,15,16
224,Zeghor,ragnaros,1343,deathknight,unholy,42,15,27
225,Segrim,drakthul,1342,deathknight,unholy,26,15,11
226,Roaredrick,draenor,1342,deathknight,unholy,87,40,47
227,Хейткрю,howling-fjord,1342,deathknight,unholy,48,21,27
228,Yagoora,silvermoon,1339,deathknight,unholy,33,15,18
229,Happsor,eredar,1336,deathknight,unholy,36,14,22
230,Alessia,alonsus,1335,deathknight,unholy,24,14,10
231,Ðiesel,stormscale,1334,deathknight,unholy,46,15,31
232,Akelæ,draenor,1330,deathknight,unholy,36,19,17
233,Evelys,kazzak,1329,deathknight,unholy,34,17,17
234,Moko,defias-brotherhood,1320,deathknight,unholy,30,14,16
235,Detrah,argent-dawn,1315,deathknight,unholy,52,27,25
236,Gûuts,archimonde,1313,deathknight,unholy,162,82,80
237,Ithis,zuljin,1312,deathknight,unholy,48,17,31
238,Negzul,blackmoore,1308,deathknight,unholy,42,20,22
239,Sveinnhran,kazzak,1302,deathknight,unholy,46,19,27
240,Mojodango,outland,1299,deathknight,unholy,26,15,11
241,Tanenoss,kazzak,1299,deathknight,unholy,42,18,24
242,Reportmeplz,ragnaros,1298,deathknight,unholy,42,20,22
243,Крикед,soulflayer,1297,deathknight,unholy,102,55,47
244,Роземайер,ashenvale,1297,deathknight,unholy,60,29,31
245,Nilodk,nemesis,1288,deathknight,unholy,88,45,43
246,Züg,draenor,1287,deathknight,unholy,30,14,16
247,Бреч,gordunni,1285,deathknight,unholy,42,14,28
248,Pjthedk,lightbringer,1284,deathknight,unholy,30,16,14
249,Zracul,nordrassil,1282,deathknight,unholy,60,29,31
250,Sictir,stormscale,1282,deathknight,unholy,176,83,93
251,Zelbørk,medivh,1276,deathknight,unholy,30,17,13
252,Jöndas,drakthul,1272,deathknight,unholy,42,20,22
253,Necrozy,aggra-português,1269,deathknight,unholy,84,43,41
254,Morinosei,twisting-nether,1269,deathknight,unholy,59,30,29
255,Necrocancerr,twisting-nether,1269,deathknight,unholy,104,49,55
256,Kaletorn,ragnaros,1265,deathknight,unholy,84,41,43
257,Diatriss,argent-dawn,1262,deathknight,unholy,54,25,29
258,Drenodur,amanthul,1261,deathknight,unholy,24,14,10
259,Superere,hyjal,1261,deathknight,unholy,36,17,19
260,Таможникс,soulflayer,1260,deathknight,unholy,23,14,9
261,Tyranus,quelthalas,1260,deathknight,unholy,91,38,53
262,Endlesspain,burning-legion,1249,deathknight,unholy,36,14,22
263,Lutcher,hellfire,1246,deathknight,unholy,24,13,11
264,Arizon,drakthul,1245,deathknight,unholy,36,13,23
265,Fentanil,elune,1244,deathknight,unholy,70,33,37
266,Fishtruction,tarren-mill,1242,deathknight,unholy,48,25,23
267,Raust,xavius,1242,deathknight,unholy,26,13,13
268,Baltersa,blackhand,1240,deathknight,unholy,36,13,23
269,Shabiri,twisting-nether,1238,deathknight,unholy,29,14,15
270,Nospets,kazzak,1237,deathknight,unholy,24,13,11
271,Lobotomia,burning-blade,1237,deathknight,unholy,30,15,15
272,Кристер,lich-king,1234,deathknight,unholy,30,13,17
273,Metalist,ravencrest,1229,deathknight,unholy,24,13,11
274,Bärdk,forscherliga,1229,deathknight,unholy,30,13,17
