name,realm,rating,cls,spec,play,win,lose
Эваер,blackscar,1506,deathknight,blood,60,29,31
Rahbekius,kazzak,1466,deathknight,blood,149,63,86
Maylined,antonidas,1316,deathknight,blood,36,16,20
Hoggster,kazzak,1237,deathknight,blood,51,14,37
Nîghtmáre,ravencrest,1180,deathknight,blood,35,20,15
Horrorda,defias-brotherhood,1119,deathknight,blood,27,14,13
Minoporc,archimonde,916,deathknight,blood,39,14,25
Wickedgray,outland,672,deathknight,blood,12,7,5
Оосака,gordunni,573,deathknight,blood,24,6,18
Downtoclown,argent-dawn,480,deathknight,blood,12,5,7
Ducados,forscherliga,476,deathknight,blood,12,5,7
Schiva,eredar,437,deathknight,blood,17,5,12
Hellcrosser,blackrock,381,deathknight,blood,12,4,8
Pinkish,argent-dawn,379,deathknight,blood,12,4,8
Барагган,thermaplugg,288,deathknight,blood,6,3,3
Кмамехочу,howling-fjord,288,deathknight,blood,18,3,15
Zdan,sylvanas,287,deathknight,blood,6,3,3
Airok,proudmoore,191,deathknight,blood,6,2,4
Fixmybones,frostmane,96,deathknight,blood,6,1,5
Pechugona,zuljin,96,deathknight,blood,12,1,11
Хайвейтухэлл,soulflayer,2098,deathknight,unholy,96,48,48
Conqueròr,tarren-mill,2083,deathknight,unholy,94,46,48
Нишимба,soulflayer,1962,deathknight,unholy,72,36,36
Leónid,kazzak,1962,deathknight,unholy,72,36,36
Кромгона,soulflayer,1961,deathknight,unholy,112,69,43
Bedstemoor,ravencrest,1955,deathknight,unholy,90,47,43
Enzy,drakthul,1948,deathknight,unholy,42,26,16
Шайбовёрт,gordunni,1946,deathknight,unholy,90,48,42
Bóby,ravencrest,1941,deathknight,unholy,213,100,113
Дайтоолгоун,gordunni,1937,deathknight,unholy,113,56,57
Storhøf,sanguino,1930,deathknight,unholy,54,35,19
Shadowdeathj,kazzak,1913,deathknight,unholy,54,27,27
Worlviuz,argent-dawn,1905,deathknight,unholy,135,67,68
Murky,kazzak,1901,deathknight,unholy,164,79,85
Quizon,tarren-mill,1889,deathknight,unholy,72,36,36
Hotcherryx,dun-modr,1887,deathknight,unholy,114,56,58
Валькейн,blackscar,1883,deathknight,unholy,60,32,28
Fxckingmad,ravencrest,1883,deathknight,unholy,72,37,35
Akaliz,die-aldor,1876,deathknight,unholy,66,35,31
Ipanic,argent-dawn,1875,deathknight,unholy,228,120,108
Eyyoo,blackmoore,1875,deathknight,unholy,70,35,35
Necrølyte,sylvanas,1874,deathknight,unholy,66,38,28
Leomordf,doomhammer,1863,deathknight,unholy,202,113,89
Narali,argent-dawn,1859,deathknight,unholy,72,34,38
Bøby,kul-tiras,1856,deathknight,unholy,54,26,28
Likewise,twisting-nether,1853,deathknight,unholy,48,20,28
Vallenhal,twisting-nether,1850,deathknight,unholy,48,23,25
Azüla,ysondre,1848,deathknight,unholy,66,30,36
Fabricius,blackrock,1847,deathknight,unholy,66,36,30
Меланндрис,gordunni,1845,deathknight,unholy,60,44,16
Øtherànóther,stormscale,1843,deathknight,unholy,54,30,24
Ezlyy,ravencrest,1843,deathknight,unholy,114,60,54
Amnésyx,ysondre,1842,deathknight,unholy,64,32,32
Nómòre,ravencrest,1839,deathknight,unholy,60,30,30
Mockingbirdo,sanguino,1836,deathknight,unholy,36,24,12
Аронас,blackscar,1833,deathknight,unholy,83,42,41
Lilshiet,stormreaver,1831,deathknight,unholy,66,30,36
Namzera,draenor,1827,deathknight,unholy,114,70,44
Undeadcell,ravencrest,1826,deathknight,unholy,60,34,26
Bíllÿ,kazzak,1822,deathknight,unholy,72,34,38
Неондк,eversong,1821,deathknight,unholy,104,53,51
Zokko,blackrock,1820,deathknight,unholy,59,31,28
Cealdris,blackmoore,1819,deathknight,unholy,30,20,10
Обледенение,gordunni,1819,deathknight,unholy,36,19,17
Bigdickdk,ragnaros,1819,deathknight,unholy,58,27,31
Lutcher,hellfire,1818,deathknight,unholy,36,20,16
Rankor,grim-batol,1816,deathknight,unholy,66,36,30
Necrofear,grim-batol,1816,deathknight,unholy,126,62,64
Jesûsx,ravencrest,1814,deathknight,unholy,78,45,33
Andreàs,silvermoon,1813,deathknight,unholy,60,30,30
Aryash,silvermoon,1812,deathknight,unholy,66,31,35
Аоепупс,gordunni,1809,deathknight,unholy,57,28,29
Allmawt,argent-dawn,1808,deathknight,unholy,89,51,38
Oscman,silvermoon,1805,deathknight,unholy,123,65,58
Лордэскорт,gordunni,1805,deathknight,unholy,78,37,41
Køley,draenor,1804,deathknight,unholy,53,30,23
Annabolik,ravencrest,1804,deathknight,unholy,36,19,17
Icegrin,silvermoon,1803,deathknight,unholy,150,81,69
Butthurtx,stormscale,1802,deathknight,unholy,46,27,19
Бургер,soulflayer,1802,deathknight,unholy,78,33,45
Exoflake,kazzak,1801,deathknight,unholy,64,36,28
Inflex,silvermoon,1800,deathknight,unholy,102,51,51
Grepetta,argent-dawn,1800,deathknight,unholy,243,121,122
Apacstanya,ragnaros,1787,deathknight,unholy,54,23,31
Aifam,twisting-nether,1784,deathknight,unholy,92,46,46
Дайтоолгоун,deathguard,1783,deathknight,unholy,69,38,31
Unhóly,tarren-mill,1782,deathknight,unholy,115,65,50
Дэхон,gordunni,1777,deathknight,unholy,79,42,37
Fennro,ysondre,1776,deathknight,unholy,288,139,149
Argonat,silvermoon,1775,deathknight,unholy,132,72,60
Darkknights,archimonde,1774,deathknight,unholy,56,35,21
Тхиро,gordunni,1773,deathknight,unholy,83,34,49
Bephomet,onyxia,1762,deathknight,unholy,93,39,54
Фростинг,gordunni,1757,deathknight,unholy,42,23,19
Sélyne,dalaran,1753,deathknight,unholy,54,23,31
Vakü,burning-legion,1746,deathknight,unholy,334,157,177
Zerachy,blackmoore,1733,deathknight,unholy,30,19,11
Shanariel,khaz-modan,1733,deathknight,unholy,102,58,44
Змейняша,soulflayer,1729,deathknight,unholy,109,53,56
Лордпафос,blackscar,1723,deathknight,unholy,54,28,26
Skulm,twisting-nether,1722,deathknight,unholy,48,20,28
Inâste,thrall,1719,deathknight,unholy,48,26,22
Oj,darkspear,1719,deathknight,unholy,173,89,84
Ghostreign,tarren-mill,1719,deathknight,unholy,68,33,35
Сантамо,soulflayer,1718,deathknight,unholy,104,55,49
Аркёт,howling-fjord,1714,deathknight,unholy,66,34,32
Koranderx,argent-dawn,1713,deathknight,unholy,30,18,12
