name,realm,rating,cls,spec,play,win,lose
Annoyed,wyrmrest-accord,1867,deathknight,unholy,125,68,57
Evilduck,ragnaros,1866,deathknight,unholy,90,51,39
Bloodbruh,blackrock,1863,deathknight,unholy,90,49,41
Goonaa,tichondrius,1861,deathknight,unholy,66,33,33
Cavaliers,ragnaros,1860,deathknight,unholy,66,32,34
Lattè,area-52,1859,deathknight,unholy,55,30,25
Chimps,illidan,1858,deathknight,unholy,58,32,26
Nürgle,black-dragonflight,1856,deathknight,unholy,280,143,137
Lagérthâ,ragnaros,1855,deathknight,unholy,72,35,37
Claudio,tichondrius,1853,deathknight,unholy,93,37,56
Brutos,thrall,1851,deathknight,unholy,104,56,48
Tduggylolz,tichondrius,1851,deathknight,unholy,60,26,34
Sagadk,hyjal,1850,deathknight,unholy,112,56,56
Morbiddesire,stormrage,1849,deathknight,unholy,87,49,38
Thotiannaqt,area-52,1847,deathknight,unholy,124,61,63
Deuter,quelthalas,1845,deathknight,unholy,315,168,147
Keomdae,tichondrius,1844,deathknight,unholy,65,32,33
Tokyotimxx,malganis,1842,deathknight,unholy,48,30,18
Cloüd,wyrmrest-accord,1841,deathknight,unholy,64,31,33
Bicepsüal,zuljin,1840,deathknight,unholy,36,28,8
Nevermore,hyjal,1840,deathknight,unholy,125,67,58
Bruceleedk,tichondrius,1839,deathknight,unholy,100,51,49
Warrcc,steamwheedle-cartel,1839,deathknight,unholy,54,26,28
Siêgfriëd,ragnaros,1839,deathknight,unholy,72,33,39
Blackfyré,sargeras,1837,deathknight,unholy,62,32,30
Aidsbenedict,malganis,1837,deathknight,unholy,126,59,67
Vigarst,azralon,1835,deathknight,unholy,60,30,30
Haldevarik,doomhammer,1834,deathknight,unholy,78,43,35
Vaizard,malganis,1832,deathknight,unholy,42,26,16
Dazarune,burning-blade,1832,deathknight,unholy,46,25,21
Starshopping,proudmoore,1832,deathknight,unholy,109,54,55
Orphanmakerx,area-52,1832,deathknight,unholy,123,60,63
Goonà,tichondrius,1831,deathknight,unholy,63,29,34
Didri,quelthalas,1831,deathknight,unholy,84,37,47
Aurious,lightnings-blade,1830,deathknight,unholy,84,47,37
Kortingert,nagrand,1830,deathknight,unholy,59,33,26
Drauguss,azralon,1830,deathknight,unholy,124,61,63
Anatøly,ragnaros,1827,deathknight,unholy,42,21,21
Daoniancc,tichondrius,1825,deathknight,unholy,399,208,191
Demonboyjr,tichondrius,1825,deathknight,unholy,87,39,48
Arthez,frostmourne,1824,deathknight,unholy,72,38,34
Sadboy,grizzly-hills,1822,deathknight,unholy,65,27,38
Áethros,malganis,1821,deathknight,unholy,108,52,56
Goldênboy,blades-edge,1820,deathknight,unholy,66,42,24
Kilohotel,stormrage,1820,deathknight,unholy,48,26,22
Einherjiar,tichondrius,1820,deathknight,unholy,48,25,23
Volyant,frostmourne,1820,deathknight,unholy,60,30,30
Kciktep,tichondrius,1819,deathknight,unholy,36,19,17
Datnai,barthilas,1819,deathknight,unholy,54,25,29
Sussybakadk,sargeras,1817,deathknight,unholy,70,34,36
Lighostx,tichondrius,1817,deathknight,unholy,165,79,86
Dkcane,kelthuzad,1816,deathknight,unholy,80,44,36
Flizzycash,malganis,1816,deathknight,unholy,56,27,29
Õdin,area-52,1815,deathknight,unholy,203,103,100
Wowattorney,tichondrius,1815,deathknight,unholy,82,33,49
Xebane,frostmourne,1813,deathknight,unholy,450,233,217
Plagueflavor,tichondrius,1813,deathknight,unholy,318,158,160
Ddibb,tichondrius,1812,deathknight,unholy,75,37,38
Ravindrannor,saurfang,1812,deathknight,unholy,65,32,33
Muspel,sargeras,1811,deathknight,unholy,65,32,33
Fatzilla,tichondrius,1811,deathknight,unholy,66,26,40
Carryme,quelthalas,1809,deathknight,unholy,139,71,68
Exaar,tichondrius,1809,deathknight,unholy,87,40,47
Dreadfang,the-venture-co,1808,deathknight,unholy,30,19,11
Floreon,tichondrius,1808,deathknight,unholy,65,34,31
Infectik,tichondrius,1807,deathknight,unholy,59,35,24
Brocigar,tichondrius,1806,deathknight,unholy,84,43,41
Necrôtic,area-52,1806,deathknight,unholy,76,35,41
Twindleroot,aggramar,1804,deathknight,unholy,77,45,32
Mûs,tichondrius,1804,deathknight,unholy,66,36,30
Asukka,tichondrius,1804,deathknight,unholy,78,32,46
Darkdj,kelthuzad,1803,deathknight,unholy,169,78,91
Kaeligh,ragnaros,1803,deathknight,unholy,66,29,37
Ziskon,illidan,1802,deathknight,unholy,100,53,47
Dtcfasd,tichondrius,1801,deathknight,unholy,32,20,12
Zìlêán,tichondrius,1800,deathknight,unholy,70,39,31
Azre,tichondrius,1800,deathknight,unholy,160,74,86
Xiaodabaolol,tichondrius,1800,deathknight,unholy,90,41,49
Zerøimperial,quelthalas,1795,deathknight,unholy,227,119,108
Avengering,tichondrius,1794,deathknight,unholy,75,40,35
Sithdog,blackrock,1794,deathknight,unholy,84,37,47
Milleh,bleeding-hollow,1793,deathknight,unholy,102,45,57
Muspellheim,azralon,1791,deathknight,unholy,54,29,25
Altareon,ragnaros,1788,deathknight,unholy,168,87,81
Attack,grizzly-hills,1787,deathknight,unholy,60,28,32
Stankybreath,bleeding-hollow,1786,deathknight,unholy,82,40,42
Poesoul,tichondrius,1784,deathknight,unholy,291,145,146
Sinell,kargath,1781,deathknight,unholy,276,144,132
Chillbaynê,the-scryers,1777,deathknight,unholy,131,67,64
Hhasaki,area-52,1776,deathknight,unholy,228,121,107
Aerd,sargeras,1776,deathknight,unholy,385,192,193
Grimiz,tichondrius,1774,deathknight,unholy,145,71,74
Vad,skullcrusher,1771,deathknight,unholy,52,22,30
Azhid,tichondrius,1769,deathknight,unholy,136,70,66
Longlnus,malganis,1767,deathknight,unholy,79,34,45
Apøçálýpsé,firetree,1765,deathknight,unholy,97,50,47
Standalizer,gilneas,1760,deathknight,unholy,84,47,37
Doombeast,area-52,1760,deathknight,unholy,108,51,57
Ålastor,stormrage,1754,deathknight,unholy,63,35,28
Soulhand,tichondrius,1754,deathknight,unholy,110,57,53
Nabbiby,tichondrius,1753,deathknight,unholy,84,38,46
Ðomìnus,moon-guard,1752,deathknight,unholy,156,88,68
Boofcigars,stormrage,1750,deathknight,unholy,66,41,25
Linyive,malganis,1750,deathknight,unholy,54,30,24
Cesaroo,aegwynn,1749,deathknight,unholy,130,64,66
Anhedonía,illidan,1747,deathknight,unholy,180,93,87
Deadsamurai,illidan,1745,deathknight,unholy,81,42,39
Slîckhuman,spinebreaker,1745,deathknight,unholy,108,48,60
Dunduner,tichondrius,1742,deathknight,unholy,186,95,91
Jakeboyswag,shandris,1742,deathknight,unholy,161,79,82
Brandonsdk,tichondrius,1742,deathknight,unholy,179,87,92
Xibbas,illidan,1741,deathknight,unholy,48,27,21
Brß,tichondrius,1740,deathknight,unholy,72,38,34
Tkyo,tichondrius,1739,deathknight,unholy,79,37,42
Frozenkappa,hyjal,1737,deathknight,unholy,35,21,14
Nh,malganis,1737,deathknight,unholy,54,28,26
Greenduck,malganis,1736,deathknight,unholy,42,21,21
Teksurugi,korgath,1734,deathknight,unholy,60,32,28
Howdoulose,illidan,1732,deathknight,unholy,54,25,29
Zìlêáns,tichondrius,1730,deathknight,unholy,84,50,34
Infection,steamwheedle-cartel,1729,deathknight,unholy,42,20,22
Supblood,tichondrius,1725,deathknight,unholy,54,26,28
Killìan,kelthuzad,1724,deathknight,unholy,76,39,37
Hatrèd,quelthalas,1724,deathknight,unholy,71,36,35
Darione,twisting-nether,1719,deathknight,unholy,60,25,35
Zerhistran,proudmoore,1718,deathknight,unholy,266,138,128
Noik,azralon,1716,deathknight,unholy,94,46,48
Properterps,bonechewer,1714,deathknight,unholy,140,78,62
Lazarise,area-52,1713,deathknight,unholy,71,34,37
Bedstains,thunderlord,1708,deathknight,unholy,155,80,75
Kinkysgnome,tichondrius,1706,deathknight,unholy,137,64,73
Goonazz,tichondrius,1705,deathknight,unholy,72,50,22
Muscleface,moon-guard,1701,deathknight,unholy,80,45,35
Bagul,azralon,1701,deathknight,unholy,51,25,26
Koda,thrall,1701,deathknight,unholy,77,36,41
Justafkdk,gorefiend,1700,deathknight,unholy,84,43,41
Onefire,illidan,1698,deathknight,unholy,70,35,35
Xarielle,tichondrius,1698,deathknight,unholy,66,32,34
Hwml,barthilas,1696,deathknight,unholy,153,80,73
Jongro,tichondrius,1693,deathknight,unholy,78,47,31
Justtaki,zuljin,1693,deathknight,unholy,54,23,31
Ligmagooch,tichondrius,1689,deathknight,unholy,124,65,59
Arroyo,borean-tundra,1689,deathknight,unholy,120,61,59
Bigdekay,illidan,1687,deathknight,unholy,30,18,12
Khaíne,wyrmrest-accord,1687,deathknight,unholy,264,136,128
Lichanis,bonechewer,1686,deathknight,unholy,126,65,61
Landez,ragnaros,1684,deathknight,unholy,72,42,30
Ayooplaguez,guldan,1684,deathknight,unholy,48,24,24
